,Attrited Customer,Existing Customer,% Difference
Credit_Limit,8136.039459127228,8726.877517647059,-6.770326010936531
Total_Trans_Amt,3095.025814382299,4654.655882352941,-33.50688230001323
Total_Trans_Ct,44.93362015980332,68.67258823529411,-34.56833168156346
Avg_Utilization_Ratio,0.16247510755992622,0.2964117647058824,-45.18601253187645
Total_Relationship_Count,3.279655808236017,3.9145882352941177,-16.219647863178018
Months_Inactive_12_mon,2.693300553165335,2.273764705882353,18.45115487093366
Contacts_Count_12_mon,2.972341733251383,2.3563529411764708,26.141618316624655
Total_Revolving_Bal,672.8229870928088,1256.6041176470587,-46.457044215910805
Engagement_Score,40.7119237861094,57.92743529411765,-29.719098421325118
