Customer_Segment,Customer_Count,Churn_Rate,Avg_Credit_Limit,Avg_Trans_Amt,Avg_Trans_Ct,Avg_Utilization,Avg_Revolving_Bal,Avg_Engagement,Pct_of_Base
Standard,6709,0.11968996869876286,8762.770889849457,4631.073930541064,67.77701594872559,0.2775938291846773,1211.2350573856015,56.4633328364883,66.2
New Customer,2351,0.1246278179498086,8321.923989791578,4631.794980859208,67.55380689068481,0.28553509145044664,1184.4946831135687,57.78243300723096,23.2
Dormant,679,0.6450662739322534,7512.041089837998,1835.0721649484535,35.511045655375554,0.09749189985272459,360.07069219440353,38.822680412371135,6.7
At Risk,289,0.3044982698961938,4413.833910034602,1726.9792387543253,35.089965397923876,0.6312456747404844,1961.4463667820069,42.65294117647059,2.9
High Value,61,0.0,22839.639344262294,9943.311475409837,96.44262295081967,0.001639344262295082,57.049180327868854,53.19672131147541,0.6
Premium,38,0.13157894736842105,34000.78947368421,7613.263157894737,82.97368421052632,0.038157894736842106,1317.6052631578948,53.42631578947368,0.4
